choice,nbhd_median_income,rentgrs,nbhd_mean_hhsize,nearby_median_income,nearby_mean_hhsize,singleFamily
03701_MF,136500.0,1544.0434782608695,2.4860681114551095,43100.0,2.853260869565218,False
03701_SF,136500.0,1637.1891891891892,2.48606811145511,43100.0,2.853260869565218,True
03702_MF,100000.0,1674.274647887324,2.7800776196636448,45000.0,3.0384105960264938,False
03702_SF,100000.0,2134.153846153846,2.7800776196636456,45000.0,3.038410596026493,True
03703_MF,73000.0,971.7843137254902,2.3226299694189567,45000.0,3.1768953068592,False
03703_SF,73000.0,1421.8152173913043,2.322629969418957,45000.0,3.1768953068592003,True
03704_MF,63500.0,944.6515151515151,3.271484375,51880.0,2.7127272727272755,False
03704_SF,63500.0,1610.2978723404256,3.271484375,51880.0,2.7127272727272764,True
03705_MF,102000.0,1529.0064102564102,2.440789473684216,49000.0,2.835570469798655,False
03705_SF,102000.0,2737.084745762712,2.4407894736842097,49000.0,2.835570469798656,True
03706_MF,88600.0,1430.1410256410256,2.9313543599257903,46000.0,2.933494558645712,False
03706_SF,88600.0,2204.9122807017543,2.9313543599257903,46000.0,2.933494558645709,True
03707_MF,70000.0,1060.4166666666667,3.686666666666667,41500.0,2.7863682604272624,False
03707_SF,70000.0,1669.6716417910447,3.686666666666667,41500.0,2.7863682604272615,True
03708_MF,71300.0,1233.1904761904761,2.6484962406015033,45800.0,2.3552742616033715,False
03708_SF,71300.0,1719.8142857142857,2.6484962406015033,45800.0,2.3552742616033724,True
03709_MF,125000.0,1591.6923076923076,2.478747203579417,55400.0,2.4167343623070674,False
03709_SF,125000.0,2224.46,2.478747203579417,55400.0,2.4167343623070674,True
03710_MF,80300.0,1330.6105263157895,2.9662756598240465,57465.0,2.972014925373136,False
03710_SF,80300.0,1771.1958762886597,2.966275659824046,57465.0,2.972014925373136,True
03711_MF,121600.0,1334.4878048780488,2.3570504527813725,50000.0,3.301919720767893,False
03711_SF,121600.0,1959.921875,2.3570504527813703,50000.0,3.301919720767892,True
03712_MF,71050.0,1204.4148936170213,2.9320754716981132,58000.0,2.865168539325845,False
03712_SF,71050.0,1478.657894736842,2.9320754716981132,58000.0,2.865168539325844,True
03713_MF,98200.0,1454.2745098039215,2.8237986270022883,47900.0,3.3739316239316213,False
03713_SF,98200.0,2115.358974358974,2.8237986270022897,47900.0,3.3739316239316244,True
03714_MF,85000.0,1357.7317073170732,2.8881118881118897,60000.0,3.0735930735930737,False
03714_SF,85000.0,2002.936170212766,2.88811188811189,60000.0,3.0735930735930745,True
03715_MF,85000.0,1409.7246376811595,3.088172043010756,57300.0,3.361655773420474,False
03715_SF,85000.0,1804.4038461538462,3.0881720430107555,57300.0,3.3616557734204764,True
03716_MF,72000.0,1125.9302325581396,3.590909090909093,48000.0,3.134513274336285,False
03716_SF,72000.0,1503.891304347826,3.590909090909093,48000.0,3.134513274336285,True
03717_MF,90250.0,1427.062015503876,2.7008310249307423,51700.0,2.786458333333331,False
03717_SF,90250.0,1918.1121495327102,2.7008310249307463,51700.0,2.786458333333334,True
03718_MF,99700.0,1627.6580086580086,2.1445427728613673,56000.0,2.734800838574418,False
03718_SF,99700.0,1879.7179487179487,2.14454277286136,56000.0,2.734800838574422,True
03719_MF,66750.0,1575.3058510638298,2.379032258064513,53880.0,2.524841915085833,False
03719_SF,66750.0,1994.7857142857142,2.3790322580645133,53880.0,2.5248419150858177,True
03720_MF,75000.0,1666.717277486911,2.2650103519668665,45000.0,2.186881188118818,False
03720_SF,75000.0,1998.140350877193,2.2650103519668754,45000.0,2.1868811881188144,True
03721_MF,59000.0,1440.1151515151514,2.2170283806343902,43000.0,2.5921532846715465,False
03721_SF,59000.0,1788.6041666666667,2.2170283806343893,43000.0,2.592153284671536,True
03722_MF,58400.0,1362.4418604651162,2.416024653312777,50000.0,2.357142857142862,False
03722_SF,58400.0,2266.372549019608,2.416024653312789,50000.0,2.357142857142858,True
03723_MF,58800.0,1161.7100840336134,3.134980988593156,43000.0,2.5478260869565355,False
03723_SF,58800.0,1858.475,3.134980988593156,43000.0,2.54782608695652,True
03724_MF,82300.0,1430.0125,2.494556765163295,46000.0,2.656495204882293,False
03724_SF,82300.0,2297.7741935483873,2.4945567651632983,46000.0,2.6564952048823036,True
03725_MF,90400.0,1603.6340206185566,2.528634361233472,52550.0,2.485523385300667,False
03725_SF,90400.0,2511.723076923077,2.5286343612334834,52550.0,2.485523385300667,True
03726_MF,164000.0,2361.3823529411766,2.1941309255079005,60000.0,2.3611971104231184,False
03726_SF,164000.0,2906.34375,2.1941309255079,60000.0,2.3611971104231184,True
03727_MF,137000.0,1945.8137651821862,2.0789825970548925,56000.0,2.045685279187811,False
03727_SF,137000.0,2521.4054054054054,2.0789825970548876,56000.0,2.045685279187817,True
03728_MF,99000.0,1853.1958333333334,1.8870636550308133,76550.0,1.857142857142848,False
03728_SF,99000.0,2202.878787878788,1.8870636550308009,76550.0,1.8571428571428559,True
03729_MF,114400.0,1932.3776371308018,1.7848341232227363,67100.0,1.9022611232676674,False
03729_SF,114400.0,2754.153846153846,1.7848341232227496,67100.0,1.9022611232676876,True
03730_MF,80000.0,1768.7511848341233,2.129781420765003,44000.0,2.0658362989323744,False
03730_SF,80000.0,1965.8444444444444,2.129781420765027,44000.0,2.065836298932383,True
03731_MF,85015.0,1833.5092936802973,1.834024896265547,60000.0,1.9546174142480328,False
03731_SF,85015.0,2635.285714285714,1.8340248962655603,60000.0,1.9546174142480204,True
03732_MF,60000.0,1384.1213171577124,1.9431554524361803,48000.0,2.190277051751169,False
03732_SF,60000.0,1679.7037037037037,1.9431554524361971,48000.0,2.190277051751178,True
03733_MF,42100.0,1317.0113636363637,2.2744721689059575,44900.0,2.2160731472569926,False
03733_SF,42100.0,1500.095238095238,2.274472168905951,44900.0,2.216073147256978,True
03734_MF,55590.0,1223.8461538461538,2.329461457233349,43200.0,2.369443025038352,False
03734_SF,55590.0,1862.8727272727272,2.3294614572333727,43200.0,2.3694430250383225,True
03735_MF,73800.0,1226.4380530973451,2.6987681970884614,49000.0,2.398741418764302,False
03735_SF,73800.0,1707.6174496644296,2.6987681970884587,49000.0,2.398741418764302,True
03736_MF,80000.0,1422.779761904762,2.537001897533214,48000.0,2.8523852385238646,False
03736_SF,80000.0,1590.0813953488373,2.5370018975332034,48000.0,2.8523852385238517,True
03737_MF,60000.0,1236.0617283950617,2.879377431906617,46800.0,3.1086186540732044,False
03737_SF,60000.0,1541.5666666666666,2.8793774319066174,46800.0,3.1086186540732066,True
03738_MF,55900.0,1123.4148936170213,3.4239631336405463,50000.0,3.0989956958393114,False
03738_SF,55900.0,1365.2549019607843,3.423963133640546,50000.0,3.0989956958393132,True
03739_MF,87300.0,1232.448275862069,2.729689807976369,47150.0,3.3944636678200686,False
03739_SF,87300.0,1793.9718309859154,2.7296898079763685,47150.0,3.394463667820071,True
03740_MF,62000.0,1238.4636363636364,2.974304068522485,42000.0,3.2788235294117585,False
03740_SF,62000.0,1515.967213114754,2.974304068522485,42000.0,3.2788235294117665,True
03741_MF,44100.0,996.3103448275862,3.4117647058823586,40000.0,3.419277108433733,False
03741_SF,44100.0,1240.1067415730338,3.411764705882356,40000.0,3.419277108433742,True
03742_MF,47200.0,967.5225225225225,3.899262899262905,34000.0,3.551428571428573,False
03742_SF,47200.0,1264.1157024793388,3.8992628992629053,34000.0,3.551428571428573,True
03743_MF,45450.0,987.5657894736842,3.3387978142076515,43100.0,2.838579499596449,False
03743_SF,45450.0,1202.94,3.3387978142076378,43100.0,2.838579499596449,True
03744_MF,75000.0,1393.5933503836318,2.1792336217552353,39000.0,3.022939068100389,False
03744_SF,75000.0,1245.5353535353536,2.1792336217552566,39000.0,3.022939068100357,True
03745_MF,40100.0,1078.0393700787401,3.8273972602739796,33000.0,2.846867749419956,False
03745_SF,40100.0,1241.7739130434782,3.827397260273979,33000.0,2.846867749419954,True
03746_MF,73200.0,1148.236111111111,2.196460176991142,40150.0,2.449118046132978,False
03746_SF,73200.0,1391.3623188405797,2.19646017699115,40150.0,2.449118046132972,True
03747_MF,56000.0,1210.603305785124,2.2329450915141353,40000.0,2.4681528662420447,False
03747_SF,56000.0,1597.1290322580646,2.232945091514141,40000.0,2.4681528662420367,True
03748_MF,121000.0,2096.55035971223,2.013613861386145,50000.0,2.229903536977493,False
03748_SF,121000.0,2495.15873015873,2.013613861386137,50000.0,2.2299035369774907,True
03749_MF,57200.0,1224.31875,2.574999999999993,43800.0,2.4166666666666705,False
03749_SF,57200.0,1554.2068965517242,2.5749999999999997,43800.0,2.4166666666666674,True
03750_MF,45050.0,995.5454545454545,2.916071428571442,31000.0,3.1289370078740153,False
03750_SF,45050.0,1406.709090909091,2.916071428571434,31000.0,3.1289370078740153,True
03751_MF,38800.0,852.8691588785047,3.5934065934065975,34000.0,3.4795613160518433,False
03751_SF,38800.0,1390.3170731707316,3.5934065934065975,34000.0,3.479561316051849,True
03752_MF,52710.0,1055.3846153846155,3.361003861003853,38400.0,3.545121951219516,False
03752_SF,52710.0,1273.486725663717,3.3610038610038555,38400.0,3.5451219512195142,True
03753_MF,75000.0,1337.9866666666667,2.850609756097557,40600.0,3.24795321637427,False
03753_SF,75000.0,1814.9074074074074,2.850609756097558,40600.0,3.24795321637427,True
03754_MF,83000.0,1246.1944444444443,2.8256880733945002,56440.0,3.0459770114942506,False
03754_SF,83000.0,1753.46,2.825688073394499,56440.0,3.0459770114942533,True
03755_MF,81000.0,1295.3666666666666,2.8963855421686735,55000.0,3.0183333333333358,False
03755_SF,81000.0,1719.4761904761904,2.8963855421686735,55000.0,3.0183333333333318,True
03756_MF,60500.0,1205.2238805970148,3.0052631578947318,52000.0,2.996581196581191,False
03756_SF,60500.0,1602.9146341463415,3.00526315789474,52000.0,2.9965811965811917,True
03757_MF,59200.0,1031.3506493506493,3.448660714285717,37300.0,3.285180572851802,False
03757_SF,59200.0,1390.5681818181818,3.448660714285718,37300.0,3.285180572851802,True
03758_MF,54000.0,1147.338888888889,2.539711191335743,44200.0,2.903771131339399,False
03758_SF,54000.0,1499.1894736842105,2.539711191335734,44200.0,2.903771131339399,True
03759_MF,57600.0,1221.3950617283951,2.7688022284122558,45000.0,2.5954946131243974,False
03759_SF,57600.0,1725.936170212766,2.7688022284122558,45000.0,2.5954946131243877,True
03760_MF,120800.0,2048.654970760234,2.311733800350267,44000.0,2.6712172923777064,False
03760_SF,120800.0,2244.676056338028,2.3117338003502623,44000.0,2.6712172923776993,True
03761_MF,95000.0,1584.7555555555555,2.478095238095245,52600.0,2.5843828715365276,False
03761_SF,95000.0,2324.2619047619046,2.4780952380952366,52600.0,2.5843828715365227,True
03762_MF,80700.0,1221.53125,2.7777777777777763,42000.0,2.9510337323177382,False
03762_SF,80700.0,1595.0,2.777777777777776,42000.0,2.9510337323177382,True
03763_MF,60000.0,1149.9802631578948,2.806910569105695,43100.0,2.960948396094848,False
03763_SF,60000.0,1662.2173913043478,2.806910569105694,43100.0,2.960948396094837,True
03764_MF,90200.0,1518.2459016393443,2.9475409836065576,56000.0,2.6566347469220264,False
03764_SF,90200.0,2131.527777777778,2.9475409836065576,56000.0,2.656634746922028,True
03765_MF,105000.0,1578.4788732394366,2.0614692653673163,50000.0,2.776173285198563,False
03765_SF,105000.0,2189.1129032258063,2.061469265367318,50000.0,2.7761732851985537,True
03766_MF,52000.0,1144.208092485549,2.729050279329612,47550.0,2.5881696428571517,False
03766_SF,52000.0,1322.219512195122,2.7290502793296096,47550.0,2.588169642857142,True
03767_MF,61000.0,1208.7619047619048,2.6543385490754083,48000.0,2.6629986244841928,False
03767_SF,61000.0,1590.2692307692307,2.654338549075393,48000.0,2.6629986244841786,True
03768_MF,132000.0,1603.8983050847457,2.3708609271523193,46150.0,2.624773960216998,False
