,serial,cbserial,numprec,puma,rentgrs,unitsstr,hhincome,educ,nbhd_median_income,nbhd_mean_hhsize,htype,choice,college
0,68216,2017000000067,2,03727,1764,10-19 family building,157400,Grade 12,137000,2.0789825970548863,MF,03727_MF,False
1,68224,2017000000177,4,03732,770,5-9 family building,68720,1 year of college,60000,1.943155452436195,MF,03732_MF,False
2,68227,2017000000191,2,03730,2764,50+ family building,100000,5+ years of college,80000,2.129781420765027,MF,03730_MF,True
4,68230,2017000000207,1,03732,1700,50+ family building,32400,4 years of college,60000,1.943155452436195,MF,03732_MF,True
5,68232,2017000000249,5,03702,1827,50+ family building,76000,Grade 12,100000,2.7800776196636483,MF,03702_MF,False
6,68233,2017000000254,1,03732,1490,50+ family building,70000,5+ years of college,60000,1.943155452436195,MF,03732_MF,True
7,68237,2017000000290,4,05905,1260,50+ family building,60310,Grade 12,105860,2.7041251778093884,MF,05905_MF,False
8,68243,2017000000309,2,03727,2240,5-9 family building,10000,4 years of college,137000,2.0789825970548863,MF,03727_MF,True
13,68253,2017000000411,2,03756,1770,50+ family building,100000,4 years of college,60500,3.0052631578947366,MF,03756_MF,True
17,68272,2017000000584,3,03762,1010,"1-family house, detached",72000,2 years of college,80700,2.7777777777777777,SF,03762_SF,False
18,68277,2017000000657,2,03712,1315,"1-family house, detached",30000,Grade 12,71050,2.9320754716981132,SF,03712_SF,False
20,68281,2017000000689,2,03752,1250,3-4 family building,45000,"Grade 5, 6, 7, or 8",52710,3.361003861003861,MF,03752_MF,False
22,68294,2017000000853,4,03758,1390,10-19 family building,58000,4 years of college,54000,2.53971119133574,MF,03758_MF,True
25,68304,2017000000936,4,03701,1014,"1-family house, detached",12000,Grade 12,136500,2.486068111455108,SF,03701_SF,False
27,68311,2017000001020,1,03729,1880,50+ family building,34600,Grade 12,114400,1.784834123222749,MF,03729_MF,False
29,68313,2017000001042,2,03734,2150,5-9 family building,115000,4 years of college,55590,2.3294614572333687,MF,03734_MF,True
32,68329,2017000001185,1,03728,2404,"1-family house, attached",176000,4 years of college,99000,1.8870636550308009,SF,03728_SF,True
36,68350,2017000001410,3,05912,2442,"1-family house, detached",7000,4 years of college,70200,2.840531561461794,SF,05912_SF,True
37,68352,2017000001424,2,05913,1433,3-4 family building,70000,Grade 12,73000,3.1,MF,05913_MF,False
43,68382,2017000001704,6,05917,3530,"1-family house, detached",148900,Grade 12,79550,3.2764227642276422,SF,05917_SF,False
46,68391,2017000001832,1,03729,1490,2-family building,56000,5+ years of college,114400,1.784834123222749,MF,03729_MF,True
49,68398,2017000001918,4,05913,240,5-9 family building,14600,Grade 12,73000,3.1,MF,05913_MF,False
50,68401,2017000001950,4,03762,2500,"1-family house, detached",45400,Grade 12,80700,2.7777777777777777,SF,03762_SF,False
51,68403,2017000002015,1,05910,1373,50+ family building,22000,Grade 12,96950,2.673789173789174,MF,05910_MF,False
52,68404,2017000002016,1,03705,1150,50+ family building,15000,4 years of college,102000,2.4407894736842106,MF,03705_MF,True
58,68416,2017000002184,5,03767,2397,5-9 family building,76400,4 years of college,61000,2.654338549075391,MF,03767_MF,True
59,68420,2017000002283,2,03703,1795,3-4 family building,52200,4 years of college,73000,2.3226299694189603,MF,03703_MF,True
61,68429,2017000002349,1,05903,1980,50+ family building,0,5+ years of college,103100,2.170035671819263,MF,05903_MF,True
63,68436,2017000002418,5,03737,1888,"1-family house, detached",79900,"Grade 5, 6, 7, or 8",60000,2.8793774319066148,SF,03737_SF,False
